,product_name,price_in_rupees,availability,link
0,"REDMI Note 10 (Frost White, 128 GB)  (4 GB RAM)",16999,not available,https://www.flipkart.com/redmi-note-10-frost-white-128-gb/p/itmac997dff9f957?pid=MOBGF47C94GE6AHZ&lid=LSTMOBGF47C94GE6AHZPH48DV&marketplace=FLIPKART&q=mi+note+10&store=tyy%2F4io&srno=s_1_7&otracker=AS_Query_OrganicAutoSuggest_3_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_3_na_na_na&fm=SEARCH&iid=2c1eba0d-f6da-4c25-b2e2-43bab978860a.MOBGF47C94GE6AHZ.SEARCH&ppt=browse&ppn=browse&ssid=uwgjsh86hs0000001626164545334&qH=eeba4ccfe74a4693
1,Vu 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV  (43CA),32999,available,https://flipkart.com/vu-108-cm-43-inch-ultra-hd-4k-led-smart-android-tv/p/itmd98cbdb233ae6?pid=TVSFZARWGJSCH2YH&lid=LSTTVSFZARWGJSCH2YHXJQ0PY&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_7&otracker=browse&fm=organic&iid=25e1d1c8-148d-4372-a9c8-59b7e0a543fa.TVSFZARWGJSCH2YH.SEARCH&ppt=None&ppn=None&ssid=f2zz4452rk0000001626165454470
2,Vu Cinema TV Action Series 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Sound by JBL  (65LX),68499,available,https://flipkart.com/vu-cinema-tv-action-series-164-cm-65-inch-ultra-hd-4k-led-smart-android-sound-jbl/p/itm021164ffd7d49?pid=TVSFXQYGTMPGQZYX&lid=LSTTVSFXQYGTMPGQZYX7OPPKG&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_8&otracker=browse&fm=organic&iid=25e1d1c8-148d-4372-a9c8-59b7e0a543fa.TVSFXQYGTMPGQZYX.SEARCH&ppt=None&ppn=None&ssid=f2zz4452rk0000001626165454470
3,Vu 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV  (55UT),45940,available,https://flipkart.com/vu-139-cm-55-inch-ultra-hd-4k-led-smart-android-tv/p/itm86370177922c2?pid=TVSFSNJVKGTFQHPU&lid=LSTTVSFSNJVKGTFQHPUHVMXNG&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_10&otracker=browse&fm=organic&iid=25e1d1c8-148d-4372-a9c8-59b7e0a543fa.TVSFSNJVKGTFQHPU.SEARCH&ppt=None&ppn=None&ssid=f2zz4452rk0000001626165454470
4,Vu Masterpiece 215 cm (85 inch) QLED Ultra HD (4K) Smart Android TV  (85QPX),279999,available,https://flipkart.com/vu-masterpiece-215-cm-85-inch-qled-ultra-hd-4k-smart-android-tv/p/itm39b7ac9f8217c?pid=TVSFX5Q9FDGHGZ5W&lid=LSTTVSFX5Q9FDGHGZ5WKFSSNQ&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_11&otracker=browse&fm=organic&iid=25e1d1c8-148d-4372-a9c8-59b7e0a543fa.TVSFX5Q9FDGHGZ5W.SEARCH&ppt=None&ppn=None&ssid=f2zz4452rk0000001626165454470
5,Vu 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV  (50UT),40490,available,https://flipkart.com/vu-126-cm-50-inch-ultra-hd-4k-led-smart-android-tv/p/itma169628942fd1?pid=TVSFSNJVRZFHCHDQ&lid=LSTTVSFSNJVRZFHCHDQOSXEHZ&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_1_13&otracker=browse&fm=organic&iid=25e1d1c8-148d-4372-a9c8-59b7e0a543fa.TVSFSNJVRZFHCHDQ.SEARCH&ppt=None&ppn=None&ssid=f2zz4452rk0000001626165454470
6,LINDT Excellence 70% Cocoa Dark Chocolate - 100 Grams (Pack Of 20) Bars  (20 x 5 g),5999,available,https://flipkart.com/lindt-excellence-70-cocoa-dark-chocolate-100-grams-pack-20-bars/p/itmffpgrvbnsuzkz?pid=CHCFFH65YV8UEDHY&lid=LSTCHCFFH65YV8UEDHYNS9TJI&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_1&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCFFH65YV8UEDHY.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
7,Pure Temptation Premium Delicious Chocoblast Gift Box 1 x 7 = 6630 g Crackles  (6630 g),5200,available,https://flipkart.com/pure-temptation-premium-delicious-chocoblast-gift-box-1-x-7-6630-g-crackles/p/itmfhdmfsrygggs8?pid=CHCFHDMFHPUXTQW5&lid=LSTCHCFHDMFHPUXTQW5GNACQL&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_2&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCFHDMFHPUXTQW5.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
8,Pure Temptation Premium Chocolate Flavored Gift Box 1 x 6 x 60 =5400g Crackles  (5400 g),4320,available,https://flipkart.com/pure-temptation-premium-chocolate-flavored-gift-box-1-x-6-60-5400g-crackles/p/itmfhdx3r4d8zz4u?pid=CHCFHDT5HYKZVUAY&lid=LSTCHCFHDT5HYKZVUAYMDJII8&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_3&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCFHDT5HYKZVUAY.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
9,"Zoroy Luxury Chocolate Easter Hamper Box with ducks, bunnies, eggs Fudges  (1500 g)",3199,available,https://flipkart.com/zoroy-luxury-chocolate-easter-hamper-box-ducks-bunnies-eggs-fudges/p/itmfeyxsmxznhdnd?pid=CHCFDZQEWGFMHGM8&lid=LSTCHCFDZQEWGFMHGM8CMWGZS&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_5&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCFDZQEWGFMHGM8.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
